ID,sex,mass,upperarm,length,age,group,rank,skinfold
1,F,12.1,16.8,90.3,6,a,0,5.1
2,F,10.7,15.3,84.2,5,a,0.11,4.9
3,F,12.4,15,100,9,a,0.22,7.5
4,F,13,19.2,109.2,5,a,0.33,7.3
5,F,13.1,16.9,101.8,7,a,0.44,5.9
6,F,8.6,15.4,72.8,7,a,0.56,6.6
7,F,10.6,17.1,83,6,a,0.67,7.6
8,F,11.8,18.6,101.6,16,a,0.78,9.1
9,F,11.9,17.6,93.4,5,a,0.89,6.9
10,F,11.2,17.2,90,13,a,1,6.9
11,F,12.8,16.1,106.2,17,b,0,7.2
12,F,12.1,14.4,103.5,6,b,0.05,5.9
13,F,10.6,16,89.7,15,b,0.1,4.4
14,F,13.4,19,115.3,8,b,0.15,5.1
15,F,11.5,14.3,94.2,6,b,0.2,6.7
16,F,12.1,17.7,95.9,9,b,0.25,5.5
17,F,15.2,15.1,112.1,9,b,0.3,3.9
18,F,12.3,12.7,98.8,6,b,0.35,5
19,F,10.5,14.2,87.5,11,b,0.4,6.6
20,F,11.6,15.9,94.1,12,b,0.45,4.7
21,F,12.2,18.4,89.4,6,b,0.5,4
22,F,10.3,17.4,83.6,13,b,0.55,5.9
23,F,9.1,17.2,72.6,9,b,0.6,5.7
24,F,11.3,17.5,92.2,9,b,0.65,6
25,F,12.8,15.3,107.4,7,b,0.7,4.6
26,F,10.6,18.5,84.7,5,b,0.75,6.2
27,F,13,15.1,115,9,b,0.8,5.1
28,F,14.3,13.9,118.9,12,b,0.85,7.7
29,F,12.3,15.6,103.5,6,b,0.9,5.8
30,F,14.5,18.5,110,7,b,0.95,7.4
31,F,12.4,12.2,100.9,7,b,1,6.6
32,F,11.1,16,88.7,13,c,0,5.2
33,F,11.8,18.9,99.8,7,c,0.08,5.7
34,F,15.7,15.4,122.7,13,c,0.17,6.6
35,F,13.6,17.4,105.6,5,c,0.25,6.8
36,F,12.5,13.8,108.5,16,c,0.33,7.3
37,F,12.3,14.3,94.3,7,c,0.42,5.1
